Rang;Reseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
115;Metro;MAIRIE D'ISSY;2874138;12;;;;;Issy Les Moulineaux;
119;Metro;EGLISE DE PANTIN;2832467;5;;;;;Pantin;
120;Metro;BONNE NOUVELLE;2806227;8;9;;;;Paris;10
124;Metro;CHEVALERET;2748696;6;;;;;Paris;13
127;Metro;CHARONNE;2705320;9;;;;;Paris;12
132;Metro;ALMA-MARCEAU;2564842;9;;;;;Paris;8
135;Metro;CRETEIL-UNIVERSITE;2496595;8;;;;;Creteil;
148;Metro;POISSONNIERE;2306725;7;;;;;Paris;10
153;Metro;TOLBIAC;2287918;7;;;;;Paris;13
154;Metro;ECOLE VETERINAIRE DE MAISONS-ALFORT;2269487;8;;;;;Maisons -Alfort;
156;Metro;SENTIER;2222744;3;;;;;Paris;3
157;Metro;COMMERCE;2212666;8;;;;;Paris;15
162;Metro;PERNETY;2173567;13;;;;;Paris;14
182;Metro;VILLEJUIF-LEO LAGRANGE;1952627;7;;;;;Villejuif;
184;Metro;SAINT-PHILIPPE-DU-ROULE;1935004;9;;;;;Paris;8
188;Metro;NOTRE-DAME-DE-LORETTE;1893828;12;;;;;Paris;9
204;Metro;DUGOMMIER;1725412;6;;;;;Paris;12
213;Metro;SAINT-MARCEL;1666744;5;;;;;Paris;13
221;Metro;PORTE DE CHOISY;1592144;7;;;;;Paris;13
223;Metro;RIQUET;1588438;7;;;;;Paris;19
228;Metro;RICHARD LENOIR;1544636;5;;;;;Paris;11
230;Metro;CARREFOUR PLEYEL;1535528;13;;;;;Saint Denis;
231;Metro;PORTE DE CHARENTON;1529778;8;;;;;Paris;12
248;Metro;EDGAR QUINET;1349178;6;;;;;Paris;14
249;Metro;AVRON;1345521;2;;;;;Paris;11
253;Metro;PORTE D'IVRY;1282199;7;;;;;Paris;13
264;Metro;PONT NEUF;1188930;7;;;;;Paris;4
271;Metro;MOUTON-DUVERNET;1131403;4;;;;;Paris;14
276;Metro;PONT MARIE;1101482;7;;;;;Paris;4
277;Metro;PIERRE CURIE;1100552;7;;;;;Ivry;
279;Metro;FILLES DU CALVAIRE;1093673;8;;;;;Paris;3
282;Metro;CHEMIN VERT;1018958;8;;;;;Paris;11
286;Metro;PICPUS;931602;6;;;;;Paris;12
287;Metro;TEMPLE;891858;3;;;;;Paris;2
289;Metro;QUAI DE LA RAPEE;798728;5;;;;;Paris;12
299;Metro;DANUBE;400157;7bis;;;;;Paris;19
303;Metro;PRE-SAINT-GERVAIS;282626;7bis;;;;;Paris;19
1;RER;GARE DU NORD-RER;32102825;B;;;;;Paris;10
2;RER;GARE DE LYON-RER;27505309;A;;;;;Paris;12
13;RER;NEUILLY-PLAISANCE;4680493;A;;;;;Neuilly-sur-Seine;
25;RER;JOINVILLE-LE-PONT;3034093;A;;;;;Joinville-le-Pont;
33;RER;NOGENT-SUR-MARNE;2358276;A;;;;;Nogent-sur-Marne;
43;RER;BAGNEUX;1742783;B;;;;;Cachan;
44;RER;LE PARC DE SAINT-MAUR;1617366;A;;;;;Saint-Maur des Fosses;
54;RER;PALAISEAU;694838;B;;;;;Palaiseau;
60;RER;FONTAINE-MICHALON;473408;B;;;;;Antony;
